1003;14;cyclisme;cyclisme, en montagne, en montée, effort vigoureux;
1004;16;cyclisme;cyclisme, en montagne, en compétition, en course;
1008;8,5;cyclisme;cyclisme, BMX;
1009;8,5;cyclisme;cyclisme, en montagne, général;
1010;4;cyclisme;cyclisme, <16 km/h, loisirs, pour aller au travail ou pour le plaisir (code Taylor 115);
1011;6,8;cyclisme;cyclisme, pour aller/revenir du travail, à son rythme;
1013;5,8;cyclisme;cyclisme, sur terre ou route de campagne, rythme modéré;
1015;7,5;cyclisme;cyclisme, général;
1018;3,5;cyclisme;cyclisme, loisir, 9 km/h;
1019;5,8;cyclisme;cyclisme, loisir, 15 km/h;
1020;6,8;cyclisme;cyclisme, 16-19,2 km/h, loisirs, rythme lent, effort léger;
1030;8;cyclisme;cyclisme, 19,3-22,4 km/h, loisirs, effort modéré;
1040;10;cyclisme;cyclisme, 22,5-25,6 km/h, course ou loisirs, rythme rapide, effort vigoureux;
1050;12;cyclisme;cyclisme, 25,7-30,6 km/h, course/sans aspiration ou > 30,6 km/h avec aspiration, rythme très rapide, course générale;
1060;15,8;cyclisme;cyclisme, > 32 km/h, course, sans aspiration;
1065;8,5;cyclisme;cyclisme, 19,3 km/h, assis, mains sur les cocottes de frein ou en bas du guidon, 80 tr/min;
1066;9;cyclisme;cyclisme, 19,3 km/h, en danseuse, mains sur les cocottes de frein, 60 tr/min;
1070;5;cyclisme;monocyclisme;
2001;2,3;exercice physique;jeu vidéo réclamant une activité (par ex. Wii Fit), effort léger (par ex. position d’équilibre, yoga);
2003;3,8;exercice physique;jeu vidéo réclamant une activité (par ex. Wii Fit), effort modéré (par ex. aérobic, résistance);
2005;7,2;exercice physique;jeu vidéo/d’arcade réclamant une activité (par ex. Exergaming, Dance Dance Revolution), effort vigoureux;
2008;5;exercice physique;parcours d’obstacle de type militaire, programme de formation de camp d’entraînement;
2010;7;exercice physique;cyclisme, vélo d'appartement, général;
2011;3,5;exercice physique;cyclisme, vélo d'appartement, 30-50 watts, effort très léger à léger;
2012;6,8;exercice physique;cyclisme, vélo d'appartement, 90-100 watts, effort modéré à vigoureux;
2013;8,8;exercice physique;cyclisme, vélo d'appartement, 101-160 watts, effort vigoureux;
2014;11;exercice physique;cyclisme, vélo d'appartement, 161-200 watts, effort vigoureux;
2015;14;exercice physique;cyclisme, vélo d'appartement, 201-270 watts, effort très vigoureux;
2017;4,8;exercice physique;cyclisme, vélo d'appartement, 51-89 watts, effort léger à modéré;
2019;8,5;exercice physique;cyclisme, vélo d’appartement, cardiovélo;
2020;8;exercice physique;gymnastique suédoise (par ex. pompes, abdominaux, tractions, sauts en écart), effort vigoureux;
2022;3,8;exercice physique;gymnastique suédoise (par ex. pompes, redressements assis, fentes), effort modéré;
2024;2,8;exercice physique;gymnastique suédoise (par ex. redressements assis, abdominaux), effort léger;
2030;3,5;exercice physique;gymnastique suédoise, effort léger à modéré, général (par ex. exercices pour le dos), monter et descendre les escaliers (code Taylor 150);
2035;4,3;exercice physique;entraînement en circuit, effort modéré;
2040;8;exercice physique;entraînement en circuit, avec des haltères, comprenant des mouvements d'aérobic avec un temps de repos minimal, général, effort vigoureux;
2045;3,5;exercice physique;exercices CurvesTM chez les femmes;
2048;5;exercice physique;machine elliptique, effort modéré;
2050;6;exercice physique;entraînement en résistance (haltérophilie, poids libre, nautilus ou universel), force athlétique ou body-building, effort vigoureux (code Taylor 210);
2052;5;exercice physique;entraînement en résistance (à une masse), squats, effort lent ou explosif;
2054;3,5;exercice physique;entraînement en résistance (à une masse), exercices multiples, 8-15 répétitions à des résistances variées;
2060;5,5;exercice physique;exercice de club de remise en forme, général (code Taylor 160);
2061;5;exercice physique;exercice de club de remise en forme, général, gym/musculation en une même séance;
2062;7,8;exercice physique;exercice de club de remise en forme, cours de conditionnement;
2064;3,8;exercice physique;exercice à la maison, général;
2065;9;exercice physique;tapis de course, général;
2068;12,3;exercice physique;corde à sauter, général;
2070;6;exercice physique;rame, rameur d'appartement, général, effort vigoureux;
2071;4,8;exercice physique;rame, rameur d’appartement, général, effort modéré;
2072;7;exercice physique;rame, rameur d’appartement, 100 watts, effort modéré;
2073;8,5;exercice physique;rame, rameur d'appartement, 150 watts, effort vigoureux;
2074;12;exercice physique;rame, rameur d'appartement, 200 watts, effort très vigoureux;
2080;6,8;exercice physique;machine d'entraînement au ski, général;
2085;11;exercice physique;tapis pour glissements latéraux, général;
2090;6;exercice physique;slimnastics, jazzercise;
2101;2,3;exercice physique;stretching doux;
2105;3;exercice physique;Pilates, général;
2110;6,8;exercice physique;cours d’exercices (par ex. aérobic, aquagym);
2112;2,8;exercice physique;ballon d’exercice thérapeutique, exercice au Fitball;
2115;2,8;exercice physique;exercices du haut du corps, ergomètre à bras;
2117;4,3;exercice physique;exercices du haut du corps, vélo d’appartement – Airdyne (bras uniquement) 40 tr/min, effort modéré;
2120;5,3;exercice physique;aérobic aquatique, gymnastique suédoise aquatique, exercices dans l’eau;
2135;1,3;exercice physique;bain à remous, position assise;
2140;2,3;exercice physique;exercices de gymnastique en vidéo, programmes TV de remise en forme (par ex. yoga, stretching), effort léger;
2143;4;exercice physique;exercices de gymnastique en vidéo, programmes TV de remise en forme (par ex. entraînement cardio-pulmonaire), effort modéré;
2146;6;exercice physique;exercices de gymnastique en vidéo, programmes TV de remise en forme (par ex. entraînement cardio-pulmonaire), effort vigoureux;
2150;2,5;exercice physique;yoga, Hatha;
2160;4;exercice physique;yoga, Power;
2170;2;exercice physique;yoga, Nadisodhana;
2180;3,3;exercice physique;yoga, Surya Namaskar;
2200;5,3;exercice physique;activités physiques néozélandaises (par ex. Haka Powhiri, Moteatea, Waita Tira, Whakawatea, etc.), général, effort modéré;
2205;6,8;exercice physique;activités physiques néozélandaises (par ex. Haka, Taiahab), général, effort vigoureux;
3010;5;danse;ballet, moderne ou jazz, général, répétition ou cours;
3012;6,8;danse;ballet, moderne ou jazz, représentation, effort vigoureux;
3014;4,8;danse;claquettes;
3015;7,3;danse;aérobic, général;
3016;7,5;danse;aérobic, step, avec un step de 15-20 cm;
3017;9,5;danse;aérobic, step, avec un step de 25-30 cm;
3018;5,5;danse;aérobic, step, avec un step de 10 cm;
3019;8,5;danse;cours de step sur banc, général;
3020;5;danse;aérobic, faible impact;
3021;7,3;danse;aérobic, fort impact;
3022;10;danse;aérobic danse avec des lests de 4,5-7 kg;
3025;4,5;danse;danse ethnique ou culturelle (par ex. grecque, moyen-orientale, hula, salsa, merengue, bamba y plena, flamenco, danse du ventre et swing);
3030;5,5;danse;danse de salon, rapide (code Taylor 125);
3031;7,8;danse;danse générale (par ex. disco, folk, gigue irlandaise à claquettes, danse de groupe, polka, contra, country);
3038;11,3;danse;danse de salon, en compétition, général;
3040;3;danse;danse de salon, lente (par ex. valse, fox-trot, slow, samba, tango, danse du XIXème siècle, mambo, cha-cha);
3050;5,5;danse;danse à clochettes Anishinaabe;
3060;3,5;danse;danse caribéenne (Abakua, Beguine, Bellair, Bongo, Brukin's, quadrille caribéen, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha,Jambu);
4001;3,5;pêche et chasse;pêche, général;
4005;4,5;pêche et chasse;pêche, pêche au crabe;
4007;4;pêche et chasse;pêche, capture du poisson à la main;
4010;4,3;pêche et chasse;activités liées à la pêche, recherche de vers, avec une pelle;
4020;4;pêche et chasse;pêcher depuis la rive et marcher;
4030;2;pêche et chasse;pêcher depuis un bateau ou canoë, position assise;
4040;3,5;pêche et chasse;pêche depuis la rive, position debout (code Taylor 660);
4050;6;pêche et chasse;pêcher dans le courant, avec des cuissardes (code Taylor 670);
4060;2;pêche et chasse;pêche, glace, position assise;
4061;1,8;pêche et chasse;pêcher, à la turlutte ou à la ligne, en position debout, général;
4062;3,5;pêche et chasse;pêcher, épuisette, placer le filet et récupérer le poisson, général;
4063;3,8;pêche et chasse;pêcher, filet fixe, poser le filet et récupérer le poisson, général;
4064;3;pêche et chasse;pêcher, moulinet, placer le filet et récupérer le poisson, général;
